Unique_Id,Id,ActivityDate,DayOfWeek,TotalSteps,TotalDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,TotalMinutesWorn,Calories,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
20263520354/22/2016,2026352035,4/22/2016,Fri,"2,915",1.81,0.00,0.00,1.81,0.00,0,0,162,712,874,"1,399",1,520,545
20263520354/23/2016,2026352035,4/23/2016,Sat,"12,357",7.71,0.00,0.00,7.71,0.00,0,0,432,458,890,"1,916",1,522,554
20263520354/24/2016,2026352035,4/24/2016,Sun,"3,490",2.16,0.00,0.00,2.16,0.00,0,0,164,704,868,"1,401",1,555,591
20263520354/25/2016,2026352035,4/25/2016,Mon,"6,017",3.73,0.00,0.00,3.73,0.00,0,0,260,821,1081,"1,576",1,506,531
20263520354/26/2016,2026352035,4/26/2016,Tue,"5,933",3.68,0.00,0.00,3.68,0.00,0,0,288,1018,1306,"1,595",0,0,0
20263520354/27/2016,2026352035,4/27/2016,Wed,"6,088",3.77,0.00,0.00,3.77,0.00,0,0,286,586,872,"1,593",1,508,545
20263520354/28/2016,2026352035,4/28/2016,Thu,"6,375",3.95,0.00,0.00,3.95,0.00,0,0,331,626,957,"1,649",1,513,545
20263520354/29/2016,2026352035,4/29/2016,Fri,"7,604",4.71,0.00,0.00,4.71,0.00,0,0,352,492,844,"1,692",1,490,510
20263520354/30/2016,2026352035,4/30/2016,Sat,"4,729",2.93,0.00,0.00,2.93,0.00,0,0,233,594,827,"1,506",1,573,607
20263520355/1/2016,2026352035,5/1/2016,Sun,"3,609",2.28,0.00,0.00,2.28,0.00,0,0,191,716,907,"1,447",1,527,546
20263520355/2/2016,2026352035,5/2/2016,Mon,"7,018",4.35,0.00,0.00,4.35,0.00,0,0,355,716,1071,"1,690",1,511,543
20263520355/3/2016,2026352035,5/3/2016,Tue,"5,992",3.72,0.00,0.00,3.72,0.00,0,0,304,981,1285,"1,604",0,0,0
20263520355/4/2016,2026352035,5/4/2016,Wed,"6,564",4.07,0.00,0.00,4.07,0.00,0,0,345,530,875,"1,658",1,538,560
20263520355/5/2016,2026352035,5/5/2016,Thu,"12,167",7.54,0.00,0.00,7.54,0.00,0,0,475,479,954,"1,926",1,468,485
20263520355/6/2016,2026352035,5/6/2016,Fri,"8,198",5.08,0.00,0.00,5.08,0.00,0,0,383,511,894,"1,736",1,524,548
20263520355/7/2016,2026352035,5/7/2016,Sat,"4,193",2.60,0.00,0.00,2.60,0.00,0,0,229,665,894,"1,491",1,511,521
20263520355/8/2016,2026352035,5/8/2016,Sun,"5,528",3.45,0.00,0.00,3.45,0.00,0,0,258,610,868,"1,555",1,541,568
20263520355/9/2016,2026352035,5/9/2016,Mon,"10,685",6.62,0.00,0.00,6.60,0.00,0,0,401,543,944,"1,869",1,531,556
20263520355/10/2016,2026352035,5/10/2016,Tue,254,0.16,0.00,0.00,0.16,0.00,0,0,17,1002,1019,"1,141",1,357,380
20263520355/11/2016,2026352035,5/11/2016,Wed,"8,580",5.32,0.00,0.00,5.32,0.00,0,0,330,569,899,"1,698",1,523,553
20263520355/12/2016,2026352035,5/12/2016,Thu,"8,891",5.51,0.00,0.00,5.51,0.00,0,0,343,330,673,"1,364",1,456,485
23201270024/12/2016,2320127002,4/12/2016,Tue,"10,725",7.49,1.17,0.31,6.01,0.00,13,9,306,1112,1440,"2,124",0,0,0
23201270024/13/2016,2320127002,4/13/2016,Wed,"7,275",4.90,0.00,0.00,4.90,0.00,0,0,335,1105,1440,"2,003",0,0,0
23201270024/14/2016,2320127002,4/14/2016,Thu,"3,973",2.68,0.00,0.00,2.68,0.00,0,0,191,1249,1440,"1,696",0,0,0
23201270024/15/2016,2320127002,4/15/2016,Fri,"5,205",3.51,0.00,0.00,3.51,0.00,0,0,245,1195,1440,"1,801",0,0,0
23201270024/16/2016,2320127002,4/16/2016,Sat,"5,057",3.41,0.00,0.00,3.40,0.00,0,0,195,1245,1440,"1,724",0,0,0
23201270024/17/2016,2320127002,4/17/2016,Sun,"6,198",4.18,0.00,0.00,4.18,0.00,0,0,249,1191,1440,"1,852",0,0,0
23201270024/18/2016,2320127002,4/18/2016,Mon,"6,559",4.42,0.00,0.26,4.14,0.00,0,7,260,1173,1440,"1,905",0,0,0
23201270024/19/2016,2320127002,4/19/2016,Tue,"5,997",4.04,0.00,0.38,3.66,0.00,0,11,228,1201,1440,"1,811",0,0,0
23201270024/20/2016,2320127002,4/20/2016,Wed,"7,192",4.85,0.00,0.49,4.34,0.00,0,11,283,1146,1440,"1,922",0,0,0
23201270024/21/2016,2320127002,4/21/2016,Thu,"3,404",2.29,0.06,0.42,1.81,0.00,1,10,127,1302,1440,"1,610",0,0,0
23201270024/22/2016,2320127002,4/22/2016,Fri,"5,583",3.76,0.00,0.00,3.76,0.00,0,0,266,1174,1440,"1,851",0,0,0
23201270024/23/2016,2320127002,4/23/2016,Sat,"5,079",3.42,0.00,0.00,3.42,0.00,0,0,242,1129,1371,"1,804",1,61,69
23201270024/24/2016,2320127002,4/24/2016,Sun,"4,165",2.81,0.00,0.00,2.80,0.00,0,0,204,1236,1440,"1,725",0,0,0
23201270024/25/2016,2320127002,4/25/2016,Mon,"3,588",2.42,0.23,0.20,1.99,0.00,3,5,152,1280,1440,"1,654",0,0,0
23201270024/26/2016,2320127002,4/26/2016,Tue,"3,409",2.30,0.00,0.00,2.30,0.00,0,0,147,1293,1440,"1,632",0,0,0
23201270024/27/2016,2320127002,4/27/2016,Wed,"1,715",1.16,0.00,0.00,1.16,0.00,0,0,82,1358,1440,"1,481",0,0,0
23201270024/28/2016,2320127002,4/28/2016,Thu,"1,532",1.03,0.00,0.00,1.03,0.00,0,0,76,1364,1440,"1,473",0,0,0
23201270024/29/2016,2320127002,4/29/2016,Fri,924,0.62,0.00,0.00,0.62,0.00,0,0,45,1395,1440,"1,410",0,0,0
23201270024/30/2016,2320127002,4/30/2016,Sat,"4,571",3.08,0.00,0.00,3.07,0.00,0,0,234,1206,1440,"1,779",0,0,0
23201270025/1/2016,2320127002,5/1/2016,Sun,772,0.52,0.00,0.00,0.52,0.00,0,0,40,1400,1440,"1,403",0,0,0
23201270025/2/2016,2320127002,5/2/2016,Mon,"3,634",2.45,0.36,0.21,1.88,0.00,5,6,123,1306,1440,"1,613",0,0,0
23201270025/3/2016,2320127002,5/3/2016,Tue,"7,443",5.02,1.49,0.37,3.16,0.00,20,10,206,1204,1440,"1,878",0,0,0
23201270025/4/2016,2320127002,5/4/2016,Wed,"1,201",0.81,0.00,0.00,0.81,0.00,0,0,52,1388,1440,"1,426",0,0,0
23201270025/5/2016,2320127002,5/5/2016,Thu,"5,202",3.51,0.00,0.39,3.11,0.00,0,11,223,1206,1440,"1,780",0,0,0
23201270025/6/2016,2320127002,5/6/2016,Fri,"4,878",3.29,0.00,0.00,3.29,0.00,0,0,204,1236,1440,"1,742",0,0,0
23201270025/7/2016,2320127002,5/7/2016,Sat,"7,379",4.97,0.00,0.00,4.97,0.00,0,0,319,1121,1440,"1,972",0,0,0
23201270025/8/2016,2320127002,5/8/2016,Sun,"5,161",3.48,0.00,0.00,3.47,0.00,0,0,247,1193,1440,"1,821",0,0,0
23201270025/9/2016,2320127002,5/9/2016,Mon,"3,090",2.08,0.00,0.00,2.08,0.00,0,0,145,1295,1440,"1,630",0,0,0
23201270025/10/2016,2320127002,5/10/2016,Tue,"6,227",4.20,0.00,0.00,4.20,0.00,0,0,290,1150,1440,"1,899",0,0,0
23201270025/11/2016,2320127002,5/11/2016,Wed,"6,424",4.33,0.00,0.00,4.33,0.00,0,0,300,1140,1440,"1,903",0,0,0
23201270025/12/2016,2320127002,5/12/2016,Thu,"2,661",1.79,0.00,0.00,1.79,0.00,0,0,128,830,958,"1,125",0,0,0
23471677964/12/2016,2347167796,4/12/2016,Tue,"10,113",6.83,2.00,0.62,4.20,0.00,28,13,320,964,1325,"2,344",0,0,0
23471677964/13/2016,2347167796,4/13/2016,Wed,"10,352",7.01,1.66,1.94,3.41,0.00,19,32,195,676,922,"2,038",1,467,531
23471677964/14/2016,2347167796,4/14/2016,Thu,"10,129",6.70,0.02,2.74,3.94,0.00,1,48,206,705,960,"2,010",1,445,489
23471677964/15/2016,2347167796,4/15/2016,Fri,"10,465",6.92,0.07,1.42,5.43,0.00,1,24,284,720,1029,"2,133",1,452,504
23471677964/16/2016,2347167796,4/16/2016,Sat,"22,244",15.08,5.45,4.10,5.53,0.00,66,72,268,968,1374,"2,670",0,0,0
23471677964/17/2016,2347167796,4/17/2016,Sun,"5,472",3.62,0.08,0.28,3.26,0.00,1,7,249,508,765,"1,882",1,556,602
23471677964/18/2016,2347167796,4/18/2016,Mon,"8,247",5.45,0.79,0.86,3.79,0.00,11,16,206,678,911,"1,944",1,500,557
23471677964/19/2016,2347167796,4/19/2016,Tue,"6,711",4.44,0.00,0.00,4.44,0.00,0,7,382,648,1037,"2,346",1,465,514
23471677964/20/2016,2347167796,4/20/2016,Wed,"10,999",7.27,0.68,1.81,4.78,0.00,11,43,269,1011,1334,"2,198",0,0,0
23471677964/21/2016,2347167796,4/21/2016,Thu,"10,080",6.75,1.85,1.53,3.38,0.00,23,26,208,761,1018,"2,048",1,460,484
23471677964/22/2016,2347167796,4/22/2016,Fri,"7,804",5.16,0.56,1.68,2.92,0.00,9,27,206,781,1023,"1,946",1,405,461
23471677964/23/2016,2347167796,4/23/2016,Sat,"16,901",11.37,2.78,1.45,7.15,0.00,32,35,360,591,1018,"2,629",1,374,386
23471677964/24/2016,2347167796,4/24/2016,Sun,"9,471",6.26,0.00,0.00,6.26,0.00,0,0,360,584,944,"2,187",1,442,459
23471677964/25/2016,2347167796,4/25/2016,Mon,"9,482",6.38,1.27,0.52,4.60,0.00,15,11,277,653,956,"2,095",1,433,471
23471677964/26/2016,2347167796,4/26/2016,Tue,"5,980",3.95,0.00,0.00,3.95,0.00,0,0,227,732,959,"1,861",1,436,490
23471677964/27/2016,2347167796,4/27/2016,Wed,"11,423",7.58,1.86,0.40,5.32,0.00,26,9,295,623,953,"2,194",1,448,499
23471677964/28/2016,2347167796,4/28/2016,Thu,"5,439",3.60,0.00,0.00,3.60,0.00,0,0,229,764,993,"1,854",1,408,450
23471677964/29/2016,2347167796,4/29/2016,Fri,42,0.03,0.00,0.00,0.03,0.00,0,0,4,2,6,403,1,411,473
28732127654/12/2016,2873212765,4/12/2016,Tue,"8,796",5.91,0.11,0.93,4.88,0.00,2,21,356,1061,1440,"1,982",0,0,0
28732127654/13/2016,2873212765,4/13/2016,Wed,"7,618",5.12,0.00,0.22,4.88,0.02,0,8,404,1028,1440,"2,004",0,0,0
28732127654/14/2016,2873212765,4/14/2016,Thu,"7,910",5.32,0.00,0.00,5.32,0.00,0,0,331,1109,1440,"1,893",0,0,0
28732127654/15/2016,2873212765,4/15/2016,Fri,"8,482",5.70,0.00,0.00,5.69,0.01,0,0,448,992,1440,"2,063",0,0,0
28732127654/16/2016,2873212765,4/16/2016,Sat,"9,685",6.65,3.11,0.02,3.51,0.01,47,1,305,1087,1440,"2,148",0,0,0
28732127654/17/2016,2873212765,4/17/2016,Sun,"2,524",1.70,0.00,0.35,1.34,0.00,0,8,160,1272,1440,"1,529",0,0,0
28732127654/18/2016,2873212765,4/18/2016,Mon,"7,762",5.24,0.07,0.28,4.89,0.00,1,6,311,1122,1440,"1,890",0,0,0
28732127654/19/2016,2873212765,4/19/2016,Tue,"7,948",5.37,0.00,0.00,5.36,0.00,0,0,389,1051,1440,"1,956",0,0,0
28732127654/20/2016,2873212765,4/20/2016,Wed,"9,202",6.30,1.51,0.12,4.66,0.01,22,5,378,1035,1440,"2,094",0,0,0
28732127654/21/2016,2873212765,4/21/2016,Thu,"8,859",5.98,0.13,0.37,5.47,0.01,2,10,371,1057,1440,"1,970",0,0,0
28732127654/22/2016,2873212765,4/22/2016,Fri,"7,286",4.90,0.46,0.00,4.42,0.02,46,0,366,1028,1440,"2,241",0,0,0
28732127654/23/2016,2873212765,4/23/2016,Sat,"9,317",6.35,2.09,0.23,4.02,0.01,28,5,330,1077,1440,"2,021",0,0,0
28732127654/24/2016,2873212765,4/24/2016,Sun,"6,873",4.68,3.00,0.06,1.62,0.00,46,1,190,1203,1440,"1,898",0,0,0
28732127654/25/2016,2873212765,4/25/2016,Mon,"7,373",4.95,0.00,0.00,4.95,0.00,0,0,359,1081,1440,"1,907",0,0,0
28732127654/26/2016,2873212765,4/26/2016,Tue,"8,242",5.54,0.12,0.18,5.24,0.00,2,5,309,1124,1440,"1,882",0,0,0
28732127654/27/2016,2873212765,4/27/2016,Wed,"3,516",2.36,0.00,0.00,2.36,0.00,46,0,197,1197,1440,"1,966",0,0,0
28732127654/28/2016,2873212765,4/28/2016,Thu,"7,913",5.41,2.16,0.34,2.91,0.00,28,7,213,1192,1440,"1,835",0,0,0
28732127654/29/2016,2873212765,4/29/2016,Fri,"7,365",4.95,1.36,1.41,2.18,0.00,20,23,206,1191,1440,"1,780",0,0,0
28732127654/30/2016,2873212765,4/30/2016,Sat,"8,452",5.68,0.33,1.08,4.26,0.01,5,20,248,1167,1440,"1,830",0,0,0
28732127655/1/2016,2873212765,5/1/2016,Sun,"7,399",4.97,0.49,1.04,3.44,0.00,7,18,196,1219,1440,"1,739",0,0,0
28732127655/2/2016,2873212765,5/2/2016,Mon,"7,525",5.06,0.00,0.21,4.83,0.02,0,7,334,1099,1440,"1,878",0,0,0
28732127655/3/2016,2873212765,5/3/2016,Tue,"7,412",4.98,0.06,0.25,4.66,0.01,1,6,363,1070,1440,"1,906",0,0,0
28732127655/4/2016,2873212765,5/4/2016,Wed,"8,278",5.56,0.00,0.00,5.56,0.00,0,0,420,1020,1440,"2,015",0,0,0
28732127655/5/2016,2873212765,5/5/2016,Thu,"8,314",5.61,0.78,0.80,4.03,0.00,13,23,311,1093,1440,"1,971",0,0,0
28732127655/6/2016,2873212765,5/6/2016,Fri,"7,063",4.75,0.00,0.12,4.61,0.01,0,5,370,1065,1440,"1,910",0,0,0
28732127655/7/2016,2873212765,5/7/2016,Sat,"4,940",3.38,2.28,0.55,0.55,0.00,75,11,52,1302,1440,"1,897",0,0,0
28732127655/8/2016,2873212765,5/8/2016,Sun,"8,168",5.54,2.90,0.00,2.64,0.00,46,0,326,1068,1440,"2,096",0,0,0
28732127655/9/2016,2873212765,5/9/2016,Mon,"7,726",5.19,0.00,0.00,5.19,0.00,0,0,345,1095,1440,"1,906",0,0,0
28732127655/10/2016,2873212765,5/10/2016,Tue,"8,275",5.56,0.00,0.00,5.55,0.01,0,0,373,1067,1440,"1,962",0,0,0
28732127655/11/2016,2873212765,5/11/2016,Wed,"6,440",4.33,0.00,0.00,4.32,0.01,0,0,319,1121,1440,"1,826",0,0,0
28732127655/12/2016,2873212765,5/12/2016,Thu,"7,566",5.11,0.00,0.00,5.11,0.00,0,0,268,720,988,"1,431",0,0,0
33728681644/12/2016,3372868164,4/12/2016,Tue,"4,747",3.24,0.00,0.00,3.23,0.01,0,0,280,1160,1440,"1,788",0,0,0
33728681644/13/2016,3372868164,4/13/2016,Wed,"9,715",6.63,0.99,0.34,5.27,0.02,16,8,371,1045,1440,"2,093",0,0,0
33728681644/14/2016,3372868164,4/14/2016,Thu,"8,844",6.03,0.34,1.03,4.65,0.01,6,25,370,1039,1440,"2,065",0,0,0
33728681644/15/2016,3372868164,4/15/2016,Fri,"7,451",5.08,0.00,0.00,5.06,0.02,0,0,335,1105,1440,"1,908",0,0,0
33728681644/16/2016,3372868164,4/16/2016,Sat,"6,905",4.73,0.00,0.00,4.70,0.03,0,0,356,1084,1440,"1,908",0,0,0
33728681644/17/2016,3372868164,4/17/2016,Sun,"8,199",5.88,1.41,0.10,4.36,0.01,11,2,322,1105,1440,"1,964",0,0,0
33728681644/18/2016,3372868164,4/18/2016,Mon,"6,798",4.64,1.08,0.20,3.35,0.00,20,7,343,1070,1440,"2,014",0,0,0
33728681644/19/2016,3372868164,4/19/2016,Tue,"7,711",5.26,0.00,0.00,5.24,0.02,0,0,376,1064,1440,"1,985",0,0,0
33728681644/20/2016,3372868164,4/20/2016,Wed,"4,880",3.33,0.84,0.09,2.38,0.02,15,3,274,1148,1440,"1,867",0,0,0
33728681644/21/2016,3372868164,4/21/2016,Thu,"8,857",6.07,1.15,0.26,4.64,0.01,18,9,376,1037,1440,"2,124",0,0,0
33728681644/22/2016,3372868164,4/22/2016,Fri,"3,843",2.62,0.00,0.00,2.61,0.01,0,0,206,1234,1440,"1,669",0,0,0
33728681644/23/2016,3372868164,4/23/2016,Sat,"7,396",5.07,1.40,0.08,3.58,0.00,20,2,303,1115,1440,"1,995",0,0,0
33728681644/24/2016,3372868164,4/24/2016,Sun,"6,731",4.59,0.89,0.19,3.49,0.02,14,7,292,1127,1440,"1,921",0,0,0
33728681644/25/2016,3372868164,4/25/2016,Mon,"5,995",4.09,0.00,0.00,4.09,0.00,0,0,416,1024,1440,"2,010",0,0,0
33728681644/26/2016,3372868164,4/26/2016,Tue,"8,283",5.79,1.85,0.05,3.87,0.01,22,2,333,1083,1440,"2,057",0,0,0
33728681644/27/2016,3372868164,4/27/2016,Wed,"7,904",5.42,1.58,0.63,3.19,0.01,24,13,346,1057,1440,"2,095",0,0,0
33728681644/28/2016,3372868164,4/28/2016,Thu,"5,512",3.76,0.00,0.00,3.76,0.00,0,0,385,1055,1440,"1,972",0,0,0
33728681644/29/2016,3372868164,4/29/2016,Fri,"9,135",6.23,0.00,0.00,6.22,0.01,0,0,402,1038,1440,"2,044",0,0,0
33728681644/30/2016,3372868164,4/30/2016,Sat,"5,250",3.58,1.06,0.09,2.42,0.01,17,4,300,1119,1440,"1,946",0,0,0
33728681645/1/2016,3372868164,5/1/2016,Sun,"3,077",2.10,0.00,0.00,2.09,0.00,0,0,172,842,1014,"1,237",0,0,0
39773337144/12/2016,3977333714,4/12/2016,Tue,"8,856",5.98,3.06,0.91,2.01,0.00,44,19,131,777,971,"1,450",1,274,469
39773337144/13/2016,3977333714,4/13/2016,Wed,"10,035",6.71,2.03,2.13,2.55,0.00,31,46,153,754,984,"1,495",2,295,456
39773337144/14/2016,3977333714,4/14/2016,Thu,"7,641",5.11,0.32,0.97,3.82,0.00,5,23,214,801,1043,"1,433",1,291,397
39773337144/15/2016,3977333714,4/15/2016,Fri,"9,010",6.06,1.05,1.75,3.26,0.00,15,42,183,644,884,"1,468",1,424,556
39773337144/16/2016,3977333714,4/16/2016,Sat,"13,459",9.00,2.03,4.00,2.97,0.00,31,83,153,663,930,"1,625",1,283,510
39773337144/17/2016,3977333714,4/17/2016,Sun,"10,415",6.97,0.70,2.35,3.92,0.00,11,58,205,600,874,"1,529",1,381,566
39773337144/18/2016,3977333714,4/18/2016,Mon,"11,663",7.80,0.25,3.73,3.82,0.00,4,95,214,605,918,"1,584",2,412,522
39773337144/19/2016,3977333714,4/19/2016,Tue,"12,414",8.78,2.24,2.45,3.96,0.00,19,67,221,738,1045,"1,638",1,219,395
39773337144/20/2016,3977333714,4/20/2016,Wed,"11,658",7.83,0.20,4.35,3.28,0.00,2,98,164,845,1109,"1,554",2,152,305
39773337144/21/2016,3977333714,4/21/2016,Thu,"6,093",4.08,0.00,0.00,4.06,0.00,0,0,242,712,954,"1,397",1,332,512
39773337144/22/2016,3977333714,4/22/2016,Fri,"8,911",5.96,2.33,0.58,3.06,0.00,33,12,188,731,964,"1,481",1,355,476
39773337144/23/2016,3977333714,4/23/2016,Sat,"12,058",8.07,0.00,4.22,3.85,0.00,0,92,252,724,1068,"1,638",1,235,372
39773337144/24/2016,3977333714,4/24/2016,Sun,"14,112",10.00,3.27,4.56,2.17,0.00,30,95,129,660,914,"1,655",1,310,526
39773337144/25/2016,3977333714,4/25/2016,Mon,"11,177",8.48,5.62,0.43,2.41,0.00,50,9,133,781,973,"1,570",1,262,467
39773337144/26/2016,3977333714,4/26/2016,Tue,"11,388",7.62,0.45,4.22,2.95,0.00,7,95,170,797,1069,"1,551",1,250,371
39773337144/27/2016,3977333714,4/27/2016,Wed,"7,193",5.04,0.00,0.42,4.62,0.00,0,10,176,714,900,"1,377",1,349,540
39773337144/28/2016,3977333714,4/28/2016,Thu,"7,114",4.88,1.37,0.29,3.22,0.00,15,8,190,804,1017,"1,407",1,261,423
39773337144/29/2016,3977333714,4/29/2016,Fri,"10,645",7.75,3.74,1.30,2.71,0.00,36,32,150,744,962,"1,545",1,333,478
39773337144/30/2016,3977333714,4/30/2016,Sat,"13,238",9.20,3.69,2.10,3.41,0.00,43,52,194,687,976,"1,650",1,237,382
39773337145/1/2016,3977333714,5/1/2016,Sun,"10,414",7.07,2.67,1.98,2.41,0.00,41,40,124,691,896,"1,501",1,383,626
39773337145/2/2016,3977333714,5/2/2016,Mon,"16,520",11.05,1.54,6.48,3.02,0.00,24,143,176,713,1056,"1,760",1,230,384
39773337145/3/2016,3977333714,5/3/2016,Tue,"14,335",9.59,3.32,1.74,4.53,0.00,47,41,258,594,940,"1,710",1,292,500
39773337145/4/2016,3977333714,5/4/2016,Wed,"13,559",9.44,1.81,4.58,2.89,0.00,14,96,142,852,1104,"1,628",1,213,336
39773337145/5/2016,3977333714,5/5/2016,Thu,"12,312",8.58,1.76,4.11,2.71,0.00,14,88,178,680,960,"1,618",1,318,480
39773337145/6/2016,3977333714,5/6/2016,Fri,"11,677",8.28,3.11,2.51,2.67,0.00,29,55,168,676,928,"1,590",1,323,512
39773337145/7/2016,3977333714,5/7/2016,Sat,"11,550",7.73,0.00,4.13,3.59,0.00,0,86,208,703,997,"1,574",1,237,443
39773337145/8/2016,3977333714,5/8/2016,Sun,"13,585",9.09,0.68,5.24,3.17,0.00,9,116,171,688,984,"1,633",2,259,456
39773337145/9/2016,3977333714,5/9/2016,Mon,"14,687",10.08,0.77,5.60,3.55,0.00,8,122,151,1159,1440,"1,667",0,0,0
39773337145/10/2016,3977333714,5/10/2016,Tue,"13,072",8.78,0.07,5.40,3.31,0.00,1,115,196,676,988,"1,630",1,312,452
39773337145/11/2016,3977333714,5/11/2016,Wed,746,0.50,0.37,0.00,0.13,0.00,4,0,9,13,26,52,0,0,0
40203326504/12/2016,4020332650,4/12/2016,Tue,"8,539",6.12,0.15,0.24,5.68,0.00,4,15,331,712,1062,"3,654",1,501,541
40203326504/14/2016,4020332650,4/14/2016,Thu,108,0.08,0.00,0.00,0.03,0.00,0,0,3,1437,1440,"2,011",0,0,0
40203326504/15/2016,4020332650,4/15/2016,Fri,"1,882",1.35,0.21,0.36,0.77,0.00,36,18,87,1299,1440,"2,951",0,0,0
40203326504/16/2016,4020332650,4/16/2016,Sat,"1,982",1.42,0.45,0.37,0.59,0.00,65,21,55,1222,1363,"3,051",1,77,77
40203326504/17/2016,4020332650,4/17/2016,Sun,16,0.01,0.00,0.00,0.01,0.00,0,0,2,1438,1440,"1,990",0,0,0
40203326504/18/2016,4020332650,4/18/2016,Mon,62,0.04,0.00,0.00,0.04,0.00,0,0,2,1438,1440,"1,995",0,0,0
40203326505/2/2016,4020332650,5/2/2016,Mon,475,0.34,0.00,0.04,0.29,0.00,0,11,31,1350,1392,"2,207",0,0,0
40203326505/3/2016,4020332650,5/3/2016,Tue,"4,496",3.22,0.00,0.00,3.15,0.05,0,0,174,950,1124,"2,828",1,322,332
40203326505/4/2016,4020332650,5/4/2016,Wed,"10,252",7.35,0.67,1.04,5.58,0.00,13,46,346,531,936,"3,879",1,478,536
40203326505/5/2016,4020332650,5/5/2016,Thu,"11,728",8.43,2.62,1.68,4.04,0.07,38,42,196,916,1192,"3,429",1,226,248
40203326505/6/2016,4020332650,5/6/2016,Fri,"4,369",3.13,0.00,0.00,3.10,0.01,0,0,177,855,1032,"2,704",1,385,408
40203326505/7/2016,4020332650,5/7/2016,Sat,"6,132",4.40,0.00,0.00,3.58,0.00,0,0,184,1256,1440,"2,975",0,0,0
40203326505/8/2016,4020332650,5/8/2016,Sun,"5,862",4.20,0.00,0.00,4.15,0.00,0,0,263,775,1038,"3,089",1,364,402
40203326505/9/2016,4020332650,5/9/2016,Mon,"4,556",3.27,0.20,0.12,2.94,0.00,3,5,173,1225,1406,"2,785",0,0,0
40203326505/10/2016,4020332650,5/10/2016,Tue,"5,546",3.98,0.00,0.00,3.87,0.04,0,0,206,774,980,"2,926",1,442,494
40203326505/11/2016,4020332650,5/11/2016,Wed,"3,689",2.65,0.11,0.17,2.33,0.00,2,8,134,1296,1440,"2,645",0,0,0
40203326505/12/2016,4020332650,5/12/2016,Thu,590,0.42,0.00,0.00,0.41,0.00,0,0,21,721,742,"1,120",0,0,0
40571929124/12/2016,4057192912,4/12/2016,Tue,"5,394",4.03,0.00,0.00,3.94,0.00,0,0,164,1276,1440,"2,286",0,0,0
40571929124/13/2016,4057192912,4/13/2016,Wed,"5,974",4.47,0.00,0.00,4.37,0.00,0,0,160,1280,1440,"2,306",0,0,0
40571929124/15/2016,4057192912,4/15/2016,Fri,"3,984",2.95,0.21,0.26,2.44,0.00,3,6,88,873,970,"1,527",0,0,0
43197035774/13/2016,4319703577,4/13/2016,Wed,"8,204",5.50,0.53,0.59,1.31,0.00,8,15,96,1234,1353,"2,135",0,0,0
43197035774/14/2016,4319703577,4/14/2016,Thu,"10,210",6.88,0.11,0.33,6.44,0.00,1,9,339,589,938,"2,302",1,535,557
